,L-Precision,L-Recall,L-Measure,Expanded L-Precision,Expanded L-Recall,Expanded L-Measure,ref_name,est_name
TRAKIXJ149E332D53F,0.7225817584232499,0.7138932104102252,0.7182112079872095,0.8035976940580144,0.7826237034687397,0.7929720332902201,Reference,Estimate
TRALJVL127F98F7094,0.6545591495185216,0.6940644307915659,0.6737331753097866,0.794580913450795,0.7642882400822123,0.7791402460788588,Reference,Estimate
TRAMEPQ149E2C6E391,0.49361531390718627,0.4022983546202174,0.4433030448717372,0.5072400277700858,0.5625279202187394,0.5334552758093712,Reference,Estimate
TRAOIOP149E3AD2F51,0.7605379300810167,0.7162812317904886,0.7377464478338308,0.8444197126354218,0.8811887939979086,0.8624125174915798,Reference,Estimate
TRAOVGN149E362699A,0.6010909694249118,0.5682565460041559,0.5842127744109614,0.6729783338612269,0.5660249315377948,0.6148854098904151,Reference,Estimate
TRAPEUF149E3BF4C4C,0.64436263813487,0.7549335477906635,0.6952794945970022,0.780782858073644,0.7688777435236186,0.7747845708651533,Reference,Estimate
TRAPSWJ149E36CDE23,0.6057216488236128,0.5932823364909667,0.5994374655609647,0.5995614533618728,0.590050642962885,0.5947680292506997,Reference,Estimate
TRAPYYI149E33239E1,0.5590106954749196,0.5585886246701884,0.5587995803732553,0.6564705666617183,0.66597872027178,0.661190462577559,Reference,Estimate
TRAQZSN149E30ECF47,0.5602104763593263,0.5974953462365706,0.5782525163208178,0.6665365854713877,0.6361492139791323,0.6509884810517019,Reference,Estimate
TRARMNB149E3DECF43,0.5511081100976223,0.6355141262136452,0.5903091621250754,0.8135249319919686,0.7889826624272127,0.8010658658083647,Reference,Estimate
TRATELE149E33C7DFD,0.6917355622369853,0.6557862670340936,0.6732813855483246,0.693335760980254,0.6860018269303861,0.68964929670203,Reference,Estimate
TRATLJQ149E33D7D2A,0.7188986573691171,0.7659338770359433,0.7416712970332198,0.7977979069694058,0.7587188355129073,0.7777677970686402,Reference,Estimate
TRATRSK149E2CC934D,0.41110557542757153,0.4503531252253813,0.4298353027279299,0.4340922038935955,0.3874831701364066,0.4094655916257961,Reference,Estimate
TRAUSXP149E3BBA300,0.6731674934837845,0.7016886973061555,0.6871322611568415,0.6772194174887491,0.6589384880944277,0.6679538955741278,Reference,Estimate
TRAVBNX149E3F1BDEB,0.6898090900936873,0.7824970471994999,0.7332355173388733,0.8558037547069128,0.7869704848324715,0.8199450412029694,Reference,Estimate
TRAVDXB127FA694101,0.47201591654315744,0.46250198365099787,0.4672105214264991,0.7924206172435178,0.6756251243895228,0.7293768346733163,Reference,Estimate
TRAVJKH149E37C05B8,0.5035771077945881,0.608150832704561,0.5509456518628671,0.7062058551559505,0.7265545526142644,0.7162357032812365,Reference,Estimate
TRAWUJT149E3DFAE74,0.5360243527657258,0.34260671433668033,0.4180265168887017,0.5760065046390207,0.622296170184991,0.5982572673321437,Reference,Estimate
TRAWVNL127FA2C9CD6,0.35671219864951237,0.4561879000422623,0.4003635602536209,0.49809951135143643,0.5017374824922175,0.4999118784259608,Reference,Estimate
TRAXCRW149E2CC259A,0.5924121809448009,0.5314714957602782,0.5602896357324042,0.6487403272053639,0.6509891038847293,0.6498627701414755,Reference,Estimate
TRAXWBI149E3D6BC67,0.4715316013401696,0.4699565868234443,0.47074277666181213,0.6821012533527979,0.81012980745129,0.7406233143856725,Reference,Estimate
TRAYBJG149E34B0C9E,0.48035540998488613,0.5783398154993085,0.5248132843098406,0.6890725884962469,0.7049768104159266,0.6969339766039885,Reference,Estimate
TRAYVUZ149E3840C6F,0.8088130658549332,0.7191836536913203,0.7613696134472901,0.8591952829185284,0.8700373577695553,0.8645823311096528,Reference,Estimate
TRAYYLG149E379CC85,0.4324878173128016,0.29631873259972635,0.3516824647262914,0.4428753330265475,0.45287145908515636,0.4478176199497807,Reference,Estimate
TRAZIEZ149E316AD26,0.5048779379076812,0.2892364063164535,0.3677784728383228,0.4981104476819543,0.4623891595503846,0.4795855605409144,Reference,Estimate
TRAZQMJ149E35018A5,0.6892260600193941,0.7065404016802846,0.6977758395220721,0.763560049478486,0.7610494114318276,0.7623026632689157,Reference,Estimate
TRBACIS149E3490E0D,0.31474007002088084,0.34433410201821446,0.32887266404170745,0.42326180051071954,0.38247918308727646,0.40183838475854444,Reference,Estimate
TRBAERZ149E316341A,0.71860712090391,0.7434072453944723,0.7307968411071002,0.8134110977299135,0.8048752449923705,0.809120659652295,Reference,Estimate
TRBAFVO149E33A9195,0.6850026134711906,0.6292324696454851,0.6559342262663111,0.7774494727035424,0.7833317577538992,0.7803795306267476,Reference,Estimate
TRBASYY149E3B90EC1,0.4045376749008621,0.6078584791861245,0.48578148948124245,0.6885823573592768,0.6465156312818734,0.6668862678922803,Reference,Estimate
TRBBJEM149E3D337D2,0.6377951149703974,0.5802243758896716,0.6076491801750562,0.9159511095184448,0.704977850772545,0.7967347865573583,Reference,Estimate
TRBBMDO127FA027922,0.6015499249282509,0.6680137128570518,0.6330420734500556,0.7571639754415974,0.7026227342224476,0.7288744570115284,Reference,Estimate
TRBBPZJ149E3B386A2,0.6365045250835407,0.5313001682510392,0.579163559111583,0.6889074053418334,0.7749071561089812,0.729381019091324,Reference,Estimate
TRBCMRY149E36BB481,0.43023209410048685,0.42062164317747097,0.42537259329005744,0.4700718191345481,0.5189608802374437,0.49330802750562697,Reference,Estimate
TRBEMQC149E3E06D32,0.7179038878173153,0.7124679406265692,0.715175584907119,0.778321101596572,0.8018729155891424,0.7899214959860799,Reference,Estimate
TRBEOFY149E33E3CD0,0.6308372049244984,0.7814427027425267,0.6981096703713323,0.8001994378544061,0.7977960636520247,0.7989959434241112,Reference,Estimate
TRBFASH149E341F334,0.582369439994905,0.6576480174303243,0.6177237349866121,0.7958476713102175,0.7059421668436627,0.7482037969478539,Reference,Estimate
